Summary 1. Sign up in Author / Reviewer for the chosen methods 2. Use the template to write the documentation page 3. Upload the documented page in the Done folder, or To review folder if necessary 4. Reviewers: Review the method page in the To review folder and move file+status to Done after  Method description Template: SYKE / IMPACTS 			Summary 1. Sign up as Criteria Assessor 2. Assess the methods against the criteria in next columns with the dropdown lists (multiple selection allowed)     + Check criteria description guide or online description of the criteria when necessary:   Criteria description guide: SYKE / IMPACTS 		CONTRIBUTION GUIDE: SYKE / IMPACTS   CONTRIBUTION PERIOD for Assessing / Documenting methods: One month					Wesbite in dev: https://estopinj.github.io/dam/ 																					
DOCUMENTATION PAGE			CRITERIA ASSESSMENT		CRITERIA ASSESSMENT																										
							Outcome		Data compatibility						Assumptions									Model properties						Packages	
Author	Status	Reviewer	Assessor	Method	Category	Sub-category	Objective	Estimand	Type	Required TS length	Handles few samples	Handles huge datasets (n)	Handles missing data	RS-data proven	Fonctional form	No unobserved confounders	No interference	Well-defined treatments	Common support (positivity)	Causal Markov Condition	Faithfulness	IDD	Model specific	Requires explicit processes	Exposure type	Number of variables	Propaguates uncertainty	Handles lag effects	Parametric nature	Language	Usage
	No		Joaquim Estopinan	Fingerprint models	Counterfactual & future simulations	Climate change attribution methods	Detection, Effect estimation	Oriented link, Maps & generalisations, Risk ratios, Others	Panel data (many samples)	≥ 100	No	Yes	No: requires prelim. correction	Yes	Linear	Required	Not required	Required	Desirable	Inapplicable	Recommended	Relaxes assumption	No specific	Yes	Continuous / Time-varying	Multivariate	Model-specific tools	Possible	Parametric	R, Python, Others	Domain-specific skills
	No		Joaquim Estopinan	Non-fingerprint models	Counterfactual & future simulations	Climate change attribution methods	Effect estimation, Detection	Oriented link, Maps & generalisations, Risk ratios, Others	Panel data (many samples)	≥ 100, ≥ 10	Yes ≤ 10	Most do	Partially	Yes	Linear, Non-linear, Assumption-free	Required	Not required	Required	Desirable	Inapplicable	Recommended	Relaxes assumption	No specific	Agnostic	Continuous / Time-varying, Binary	Multivariate, Univariate	Model-specific tools	Possible	Parametric, Semi-parametric, Non-parametric	R, Python, Others	Domain-specific skills, Technical but well documented
	No		Joaquim Estopinan	Causal generative modeling	Counterfactual & future simulations, Causal ML, Causal discovery		Effect estimation, Causal relationship(s), Scenario projection	ATE, CATE, Mediation effects, Oriented link, Maps & generalisations	Panel data (many samples)	≥ 10, ≥ 100	No	Yes	Yes	No	Assumption-free	Recommended	Required	Required	Desirable	Inapplicable	Required	Relaxes assumption	No specific	Optional	All	Multivariate, High-dimensional (p≫n)	Needs model-agnostic propagation	Possible	Semi-parametric, Non-parametric	Python	Technical but well documented, Domain-specific skills
	No		Joaquim Estopinan	Population models	Counterfactual & future simulations	Process-based methods	Effect estimation	Maps & generalisations, ATE, Others	Time-series (one sample), Panel data (many samples)	≥ 10	Yes ≤ 10	Yes	Partially	Yes	Linear, Non-linear	Recommended	Required	Required	Recommended	Inapplicable	Recommended	Relaxes assumption	No specific	Yes	All	Multivariate	Model-specific tools	Yes	Parametric, Semi-parametric	R, Python	Technical but well documented
	No		Joaquim Estopinan	Phenology models	Counterfactual & future simulations	Process-based methods	Predictive task + interpretability, Scenario projection, Detection	Maps & generalisations, CATE, Others	Panel data (many samples)	≥ 10	10 to 100	Most do	Partially	Yes	Quadratic, Non-linear, Additivity	Recommended	Required	Required	Recommended	Inapplicable	Recommended	Relaxes assumption	No specific	Yes	Continuous / Time-varying	Bivariate, Multivariate	Model-specific tools	Yes	Parametric, Semi-parametric	R	Technical but well documented
Rachid Oucheikh	Invited		Joaquim Estopinan	Physics/ecology informed neural networks (PINNs)	Causal ML, Counterfactual & future simulations, Ecology-guided Modelling		Predictive task + interpretability, Detection, Scenario projection, Effect estimation	Maps & generalisations, CATE, Others	Time-series (one sample), Panel data (many samples)	Handles ≤ 10, ≥ 10	Yes ≤ 10	Yes	No: requires prelim. correction	Yes	Assumption-free, Non-linear	Relaxes assumption	Inapplicable	Inapplicable	Inapplicable	Inapplicable	Inapplicable	Relaxes assumption	No specific	Yes	Continuous / Time-varying	Multivariate, High-dimensional (p≫n)	Needs model-agnostic propagation	Yes	Non-parametric	Python	Technical but well documented, Domain-specific skills
Anne Thomas	Assigned			FATE-HD	Counterfactual & future simulations	Dynamic vegetation models																									
ULUND	Invited			LPJ-GUESS	Counterfactual & future simulations	Dynamic vegetation models																									
Anne Thomas	Invited			ORCHIDEE	Counterfactual & future simulations	Dynamic vegetation models																									
