Good practices panel							Examples		
Page name	Author	Status	Reviewer	Remarks			Page name	Author	Status
Causal graphs	Joaquim Estopinan	Online	Miriam				STOC & synthetic controls	Joaquim Estopinan	Online
Causal paradigms		No					BFAST	Christina (WR)	Invited
Mediators & moderators	Diana Bowler	Invited							
Review articles		No		Schrodt et al. 2025 & other review articles, eg: Siegel et al. 2025, Correia et al, Laubach et al. 2021					
Sensitivity analyses & method comparison		No							
Colinear inputs	Luca Santini	To review	Joaquim Estopinan						
Internal/External Validity		No		Reference to Correia et al., Best practices for					
Intro on diversity metrics for detection?		No		Santini et al. 2017					
Definitions of Detection & Attribution		No							
Gaps & biases in biodiversity as missing data?	Diana Bowler	Assigned		Bowler et al. 2025					
Best practices for causal inference	Joaquim Estopinan	Online		Matches Box 1 from NaviDAM companion article					
Variable transformations		No							
NaviDAM usage diagram	Joaquim	Online		Matches Fig. 2 NaviDAM companion article					
